Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"San Simon, Pampanga, Philippines",14.98432,120.75127,Globe,16235,2915,16.24,2.92,29,236,4,143
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,Smart,62509,7530,62.51,7.53,20,231,81,118
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,Smart,44546,5975,44.55,5.98,18,230,108,153
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,Smart,54852,11702,54.85,11.70,13,209,97,148
"Zamboanga City, Zamboanga del Sur, Philippines",6.90437,122.07612,Globe,16039,5916,16.04,5.92,34,205,43,69
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,Globe,40011,6465,40.01,6.47,17,204,85,134
"San Carlos City, Negros Occidental, Philippines",10.48344,123.30371,Globe,20551,13054,20.55,13.05,28,203,4,4
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,Globe,92907,10863,92.91,10.86,16,202,59,104
"Lipa City, Batangas, Philippines",13.94047,121.19395,Smart,38625,6462,38.63,6.46,23,200,29,92
"Baguio, Benguet, Philippines",16.41297,120.5914,Globe,24368,4111,24.37,4.11,23,196,72,113
"Angeles, Pampanga, Philippines",15.16061,120.60908,Smart,74738,6365,74.74,6.37,16,187,72,117
"General Trias, Cavite, Philippines",14.38159,120.87915,Smart,47191,2478,47.19,2.48,24,185,64,101
"Marikina, Metro Manila, Philippines",14.63493,121.10195,Smart,83233,9172,83.23,9.17,14,181,47,76
"Cabanatuan City, Nueva Ecija, Philippines",15.49943,121.01057,Smart,41738,6362,41.74,6.36,28,181,15,98
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,DITO,66904,7810,66.90,7.81,34,176,25,90
"Marikina, Metro Manila, Philippines",14.63493,121.10195,Globe,84547,12693,84.55,12.69,14,174,81,101
"Baras, Rizal, Philippines",14.53656,121.27408,Globe,25658,5129,25.66,5.13,17,163,3,3
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,Smart,106778,7533,106.78,7.53,14,163,66,94
"Mandaue, Cebu, Philippines",10.3279,123.94273,Smart,75255,7619,75.26,7.62,15,162,52,84
"Pasig, Metro Manila, Philippines",14.56082,121.0776,DITO,103662,7471,103.66,7.47,19,162,54,84
"Naic, Cavite, Philippines",14.29649,120.79246,Globe,58118,10701,58.12,10.70,19,157,12,18
"City of Tabuk, Kalinga, Philippines",17.42402,121.3999,Globe,43199,19166,43.20,19.17,22,157,5,6
"Calamba, Laguna, Philippines",14.19488,121.15974,DITO,48180,3992,48.18,3.99,22,153,28,101
"Cabanatuan City, Nueva Ecija, Philippines",15.49943,121.01057,Globe,33304,5066,33.30,5.07,20,153,14,95
"Iligan City, Lanao del Norte, Philippines",8.22707,124.46418,Globe,16460,6565,16.46,6.57,31,152,14,26
"Surigao, Surigao del Norte, Philippines",9.79022,125.49311,Globe,17798,11943,17.80,11.94,36,151,6,9
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,Globe,35481,9959,35.48,9.96,22,149,49,76
"Gapan City, Nueva Ecija, Philippines",15.29121,121.01057,Globe,31061,6632,31.06,6.63,17,149,6,9
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,DITO,25775,3256,25.78,3.26,26,147,35,51
"Naga City, Camarines Sur, Philippines",13.6475,123.27003,Smart,75710,4645,75.71,4.65,19,146,27,47
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,Smart,86796,5911,86.80,5.91,16,144,62,101
"Governor Generoso, Davao Oriental, Philippines",6.45867,126.15454,Globe,31505,10150,31.51,10.15,21,141,2,3
"Imus, Cavite, Philippines",14.42764,120.93724,Smart,51047,8393,51.05,8.39,20,140,51,78
"Mariveles, Bataan, Philippines",14.4354,120.49003,Globe,58749,16019,58.75,16.02,24,136,8,13
"Zamboanga City, Zamboanga del Sur, Philippines",6.90437,122.07612,DITO,15781,5625,15.78,5.63,41,136,25,36
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,DITO,41586,10085,41.59,10.09,18,133,45,70
"Imus, Cavite, Philippines",14.42764,120.93724,Globe,44038,8486,44.04,8.49,18,133,43,64
"Mandaue, Cebu, Philippines",10.3279,123.94273,Globe,28340,8645,28.34,8.65,28,130,53,75
