Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
"Taguig, Metro Manila, Philippines",14.53063,121.05755,PLDT Home Fiber,192770,186716,192.77,186.72,4,2786,889,1231
"Taguig, Metro Manila, Philippines",14.53063,121.05755,PLDT,79633,79032,79.63,79.03,6,2765,898,1289
"Tanauan City, Batangas, Philippines",14.08354,121.14762,PLDT Home Fiber,161990,154636,161.99,154.64,7,2731,943,1446
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,Converge,189683,190528,189.68,190.53,4,2615,857,1302
"San Fernando, Pampanga, Philippines",15.02781,120.69349,PLDT Home Fiber,154900,100758,154.90,100.76,8,2588,878,1317
"Magpet, Cotabato, Philippines",7.1332,125.17087,PLDT Home Fiber,140260,97486,140.26,97.49,8,2548,1024,1412
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,PLDT,101726,96186,101.73,96.19,5,2541,831,1217
"Naga City, Camarines Sur, Philippines",13.6475,123.27003,Converge,99099,94117,99.10,94.12,9,2472,535,915
"San Juan City, Metro Manila, Philippines",14.60196,121.0355,Globe,222007,197318,222.01,197.32,5,2453,850,1270
"Makati City, Metro Manila, Philippines",14.55474,121.02444,Globe,171920,131879,171.92,131.88,4,2440,787,1185
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,PLDT Home Fiber,171433,182000,171.43,182.00,3,2413,780,1129
"San Fernando, Pampanga, Philippines",15.02781,120.69349,Converge,94113,95519,94.11,95.52,4,2404,925,1318
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,PLDT Home Fiber,150048,146341,150.05,146.34,4,2328,722,1077
"Tarlac City, Tarlac, Philippines",15.48808,120.58719,Converge,128864,116648,128.86,116.65,4,2273,818,1201
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,PLDT Home Fiber,92210,94320,92.21,94.32,7,2191,657,972
"Calamba, Laguna, Philippines",14.19488,121.15974,PLDT Home Fiber,116158,120670,116.16,120.67,8,2095,706,1025
"San Carlos City, Negros Occidental, Philippines",10.48344,123.30371,PLDT,123632,144186,123.63,144.19,5,2085,837,1162
"Pasig, Metro Manila, Philippines",14.56082,121.0776,PLDT,83094,82583,83.09,82.58,7,2080,788,1108
"La Trinidad, Benguet, Philippines",16.44844,120.59047,Converge,113725,117384,113.73,117.38,3,2075,786,1110
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,Globe,202774,173038,202.77,173.04,5,2072,738,1106
"Pasig, Metro Manila, Philippines",14.56082,121.0776,Globe,203188,192215,203.19,192.22,5,2035,681,979
"Marikina, Metro Manila, Philippines",14.63493,121.10195,PLDT Home Fiber,205422,190843,205.42,190.84,3,2011,722,1020
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,Globe,178131,150339,178.13,150.34,5,2007,713,1068
"San Juan City, Metro Manila, Philippines",14.60196,121.0355,PLDT,56520,55346,56.52,55.35,14,1951,650,946
"Malabon, Metro Manila, Philippines",14.65793,120.95118,Converge,182851,179448,182.85,179.45,3,1944,591,982
"Polangui, Albay, Philippines",13.29368,123.48542,Converge,116832,74841,116.83,74.84,14,1906,445,847
"Magpet, Cotabato, Philippines",7.1332,125.17087,PLDT,155145,99117,155.15,99.12,8,1894,872,1166
"Cabanatuan City, Nueva Ecija, Philippines",15.49943,121.01057,Globe,168627,131793,168.63,131.79,5,1869,635,948
"Bago, Negros Occidental, Philippines",10.53757,122.83609,Converge,166538,157630,166.54,157.63,13,1857,686,1057
"Biñan, Laguna, Philippines",14.31456,121.08316,PLDT Home Fiber,103805,103888,103.81,103.89,8,1833,544,824
"Makati City, Metro Manila, Philippines",14.55474,121.02444,Converge,194438,181730,194.44,181.73,5,1751,583,968
"Batangas City, Batangas, Philippines",13.75641,121.05833,PLDT Home Fiber,153368,116046,153.37,116.05,8,1717,491,753
"Candelaria, Quezon, Philippines",13.94899,121.42276,Converge,203078,195867,203.08,195.87,4,1706,582,941
"Baguio, Benguet, Philippines",16.41297,120.5914,Converge,98860,103500,98.86,103.50,4,1677,561,803
"Bacolor, Pampanga, Philippines",14.99692,120.65235,PLDT Home Fiber,184642,129627,184.64,129.63,8,1644,604,843
"General Trias, Cavite, Philippines",14.38159,120.87915,Converge,170511,176320,170.51,176.32,7,1639,515,798
"Cagayan De Oro City, Misamis Oriental, Philippines",8.48029,124.64975,Converge,109376,103641,109.38,103.64,8,1592,530,748
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,PLDT,87100,91419,87.10,91.42,9,1556,483,730
"Concepcion, Tarlac, Philippines",15.324,120.65596,Converge,129541,146625,129.54,146.63,3,1555,519,754
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,Globe,114195,104651,114.20,104.65,8,1544,508,724
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,PLDT Home Fiber,156937,127460,156.94,127.46,4,1519,437,599
"Tarlac City, Tarlac, Philippines",15.48808,120.58719,Globe,106674,99174,106.67,99.17,5,1508,526,800
"Santa Cruz, Davao del Sur, Philippines",6.83551,125.41659,Converge,142603,143092,142.60,143.09,4,1499,533,739
"Murcia, Negros Occidental, Philippines",10.60643,123.03944,Globe,144833,115869,144.83,115.87,8,1474,525,757
"Silang, Cavite, Philippines",14.22025,120.96469,PLDT Home Fiber,158709,157383,158.71,157.38,5,1465,489,754
"La Paz, Tarlac, Philippines",15.4497,120.7235,Globe,93268,93502,93.27,93.50,5,1463,451,850
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,Converge,180300,187777,180.30,187.78,4,1450,417,637
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,Converge,182485,180694,182.49,180.69,4,1441,472,716
"Los Baños, Laguna, Philippines",14.17731,121.22161,PLDT Home Fiber,137279,139833,137.28,139.83,7,1437,547,819
"Canlaon City, Negros Oriental, Philippines",10.36048,123.19137,PLDT Home Fiber,142498,167053,142.50,167.05,6,1392,513,736
"San Rafael, Bulacan, Philippines",15.00184,120.93141,PLDT Home Fiber,125209,118750,125.21,118.75,7,1376,487,730
"Santa Maria, Bulacan, Philippines",14.82898,120.97616,Converge,174259,118942,174.26,118.94,7,1373,446,691
"San Antonio, Nueva Ecija, Philippines",15.31921,120.82692,Globe,225678,204132,225.68,204.13,5,1372,500,742
"Butuan City, Agusan Del Norte, Philippines",8.94753,125.54063,Globe,119735,60843,119.74,60.84,14,1368,502,657
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,PLDT,94604,94492,94.60,94.49,5,1359,387,561
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,Globe,218637,164968,218.64,164.97,4,1294,447,596
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,PLDT,91572,93862,91.57,93.86,3,1292,438,670
"Claveria, Misamis Oriental, Philippines",8.62972,124.90655,Converge,130685,105307,130.69,105.31,9,1290,478,738
"Talakag, Bukidnon, Philippines",8.05293,124.72988,PLDT Home Fiber,108026,101633,108.03,101.63,5,1288,429,651
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,Converge,105354,102302,105.35,102.30,14,1259,399,595
"San Juan City, Metro Manila, Philippines",14.60196,121.0355,PLDT Home Fiber,156222,157601,156.22,157.60,3,1251,465,663
"Imus, Cavite, Philippines",14.42764,120.93724,Converge,210778,180286,210.78,180.29,6,1249,464,733
"Lipa City, Batangas, Philippines",13.94047,121.19395,PLDT Home Fiber,168631,160138,168.63,160.14,7,1246,399,540
"Iriga City, Camarines Sur, Philippines",13.42095,123.41361,Converge,96074,94615,96.07,94.62,4,1245,371,655
"Calapan City, Oriental Mindoro, Philippines",13.36643,121.19395,Converge,107526,101667,107.53,101.67,12,1206,334,581
"Subic Bay Freeport Zone, Philippines",14.80319,120.30033,Converge,122914,128374,122.91,128.37,4,1181,461,651
"Itogon, Benguet, Philippines",16.36116,120.6787,PLDT Home Fiber,97316,96455,97.32,96.46,6,1175,458,672
"Itogon, Benguet, Philippines",16.36116,120.6787,PLDT,105041,97275,105.04,97.28,5,1172,425,662
"Santa Ana, Pampanga, Philippines",15.09442,120.76623,Converge,157983,186626,157.98,186.63,3,1168,436,642
"San Mateo, Rizal, Philippines",14.69539,121.11767,PLDT Home Fiber,142224,163805,142.22,163.81,4,1154,341,463
"General Trias, Cavite, Philippines",14.38159,120.87915,PLDT Home Fiber,173260,161983,173.26,161.98,5,1152,353,503
"San Pablo City, Laguna, Philippines",14.06422,121.32326,PLDT Home Fiber,153991,174885,153.99,174.89,6,1135,352,544
"Kawit, Cavite, Philippines",14.44588,120.90871,Converge,194153,217408,194.15,217.41,6,1121,367,572
"San Carlos City, Negros Occidental, Philippines",10.48344,123.30371,PLDT Home Fiber,120805,159091,120.81,159.09,5,1118,465,659
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,PLDT Home Fiber,126418,126959,126.42,126.96,8,1109,358,526
"Bago, Negros Occidental, Philippines",10.53757,122.83609,PLDT Home Fiber,144860,150904,144.86,150.90,6,1087,436,629
"Arayat, Pampanga, Philippines",15.15443,120.771,Converge,121818,155623,121.82,155.62,4,1079,411,644
"Binangonan, Rizal, Philippines",14.48441,121.1869,PLDT,112384,136829,112.38,136.83,3,1077,391,584
"San Juan City, Metro Manila, Philippines",14.60196,121.0355,Converge,161324,149639,161.32,149.64,4,1058,344,546
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,PLDT,75588,88978,75.59,88.98,8,1049,363,516
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,PLDT Home Fiber,199708,202653,199.71,202.65,3,1045,362,487
"Butuan City, Agusan Del Norte, Philippines",8.94753,125.54063,PLDT Home Fiber,79630,89132,79.63,89.13,9,1032,297,426
"City of Santa Rosa, Laguna, Philippines",14.31471,121.11232,PLDT Home Fiber,117178,111433,117.18,111.43,7,1011,243,333
"Malolos, Bulacan, Philippines",14.86049,120.80916,PLDT Home Fiber,135979,140086,135.98,140.09,6,1006,308,462
"New Lucena, Iloilo, Philippines",10.87841,122.59781,Converge,114994,105268,114.99,105.27,12,1005,317,545
"Kawit, Cavite, Philippines",14.44588,120.90871,PLDT Home Fiber,96279,95693,96.28,95.69,8,1000,325,471
"Burgos, La Union, Philippines",16.53803,120.47033,Converge,99068,107892,99.07,107.89,4,992,384,554
"Bacoor, Cavite, Philippines",14.43122,120.96567,Converge,183491,159964,183.49,159.96,7,984,326,533
"Tanauan City, Batangas, Philippines",14.08354,121.14762,PLDT,114993,104775,114.99,104.78,8,973,312,445
"Taytay, Rizal, Philippines",14.55288,121.12571,Converge,231762,246179,231.76,246.18,3,970,359,524
"Lucena City, Quezon, Philippines",13.94139,121.62345,PLDT Home Fiber,104752,135098,104.75,135.10,5,970,332,487
"Calamba, Laguna, Philippines",14.19488,121.15974,PLDT,77997,87264,78.00,87.26,9,955,306,447
"Danao, Cebu, Philippines",10.52013,124.02712,Globe,96067,94446,96.07,94.45,6,952,384,576
"Naga City, Camarines Sur, Philippines",13.6475,123.27003,PLDT Home Fiber,99477,97244,99.48,97.24,7,939,264,379
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,Converge,144763,123362,144.76,123.36,15,913,319,488
"Iligan City, Lanao del Norte, Philippines",8.22707,124.46418,Converge,187614,191724,187.61,191.72,7,901,369,497
"Murcia, Negros Occidental, Philippines",10.60643,123.03944,PLDT Home Fiber,146165,145217,146.17,145.22,6,896,323,476
"Kawit, Cavite, Philippines",14.44588,120.90871,Globe,125389,112395,125.39,112.40,6,894,282,446
"Bacoor, Cavite, Philippines",14.43122,120.96567,PLDT,88942,80126,88.94,80.13,8,889,316,414
"Manila, Metro Manila, Philippines",14.59951,120.98423,Globe,162425,163313,162.43,163.31,5,869,316,458
"Olongapo City, Zambales, Philippines",14.88739,120.36661,Converge,104713,107393,104.71,107.39,5,864,316,485
"Angeles, Pampanga, Philippines",15.16061,120.60908,PLDT Home Fiber,99845,97064,99.85,97.06,9,833,221,326
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,PLDT,86050,90256,86.05,90.26,7,809,253,359
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,PLDT,77518,91413,77.52,91.41,7,780,232,332
"Cainta, Rizal, Philippines",14.58056,121.11565,Globe,229087,218353,229.09,218.35,5,765,235,309
"Bamban, Tarlac, Philippines",15.2885,120.57044,Converge,130058,128067,130.06,128.07,3,759,267,387
"Santo Domingo, Nueva Ecija, Philippines",15.61284,120.88434,Globe,149710,147765,149.71,147.77,6,743,262,398
"Tuguegarao City, Cagayan, Philippines",17.60306,121.75374,Converge,84702,78035,84.70,78.04,13,727,100,139
"Bago, Negros Occidental, Philippines",10.53757,122.83609,Globe,93693,94667,93.69,94.67,4,726,280,384
"Meycauayan, Bulacan, Philippines",14.73772,120.96077,PLDT Home Fiber,95643,93245,95.64,93.25,10,718,187,272
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,PLDT,55164,44178,55.16,44.18,10,708,261,389
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,Converge,211991,197826,211.99,197.83,6,696,267,412
"Marilao, Bulacan, Philippines",14.77237,120.96001,PLDT Home Fiber,105114,102086,105.11,102.09,9,691,243,374
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,Globe,247668,183247,247.67,183.25,5,673,203,261
"Nabua, Camarines Sur, Philippines",13.4069,123.37324,Converge,94817,94654,94.82,94.65,3,672,224,371
"Batangas City, Batangas, Philippines",13.75641,121.05833,PLDT,94549,102639,94.55,102.64,8,667,251,383
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,PLDT,76844,86580,76.84,86.58,9,664,231,325
"Taytay, Rizal, Philippines",14.55288,121.12571,PLDT,77017,89171,77.02,89.17,8,663,194,302
"Bustos, Bulacan, Philippines",14.95239,120.91735,PLDT Home Fiber,163865,148422,163.87,148.42,8,662,215,304
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,Converge,158893,159371,158.89,159.37,4,660,228,318
"Cardona, Rizal, Philippines",14.48493,121.232,PLDT,143798,127115,143.80,127.12,3,657,251,401
"Marilao, Bulacan, Philippines",14.77237,120.96001,PLDT,86305,92743,86.31,92.74,10,650,198,294
"Baliwag, Bulacan, Philippines",14.96569,120.89431,PLDT Home Fiber,132384,118427,132.38,118.43,7,649,261,369
"Urdaneta City, Pangasinan, Philippines",15.98194,120.59698,Converge,95720,106981,95.72,106.98,5,643,219,352
"Santa Barbara, Pangasinan, Philippines",15.9774,120.42424,Converge,97936,108393,97.94,108.39,5,640,229,339
"Rodriguez, Rizal, Philippines",14.73202,121.14516,PLDT Home Fiber,139223,149746,139.22,149.75,4,631,189,246
"San Nicolas, Pangasinan, Philippines",16.12066,120.78097,PLDT,111460,101053,111.46,101.05,6,620,241,356
"Bulakan, Bulacan, Philippines",14.79484,120.87889,PLDT Home Fiber,165750,157377,165.75,157.38,6,619,166,272
"Sariaya, Quezon, Philippines",13.96301,121.52388,Converge,217613,221978,217.61,221.98,5,619,240,375
"Biñan, Laguna, Philippines",14.31456,121.08316,PLDT,92037,92953,92.04,92.95,8,619,215,300
"Magpet, Cotabato, Philippines",7.1332,125.17087,Globe,63163,87378,63.16,87.38,7,617,246,361
"Santo Tomas, Batangas, Philippines",14.08754,121.17764,PLDT Home Fiber,133586,160570,133.59,160.57,10,615,145,200
"San Pedro, Laguna, Philippines",14.36443,121.06192,Converge,176844,165511,176.84,165.51,7,615,147,253
"Cainta, Rizal, Philippines",14.58056,121.11565,PLDT,87902,92624,87.90,92.62,5,610,197,283
"Lucban, Quezon, Philippines",14.1144,121.55472,PLDT Home Fiber,192202,185552,192.20,185.55,8,604,177,273
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,Globe,199394,173289,199.39,173.29,5,604,186,236
"City of Santa Rosa, Laguna, Philippines",14.31471,121.11232,PLDT,96278,96863,96.28,96.86,8,602,204,290
"San Pedro, Laguna, Philippines",14.36443,121.06192,PLDT Home Fiber,178940,159591,178.94,159.59,4,591,191,260
"Balamban, Cebu, Philippines",10.48585,123.77412,Globe,230477,203482,230.48,203.48,6,578,224,312
"Zamboanga City, Zamboanga del Sur, Philippines",6.90437,122.07612,PLDT Home Fiber,103617,76152,103.62,76.15,10,574,170,240
"Matalam, Cotabato, Philippines",7.17236,124.92861,PLDT Home Fiber,184919,97347,184.92,97.35,8,572,245,350
"Jamindan, Capiz, Philippines",11.39423,122.42407,Converge,173224,158570,173.22,158.57,14,568,157,298
"Kidapawan, Cotabato, Philippines",7.02127,125.09019,Globe,62159,93488,62.16,93.49,7,563,202,291
"Marikina, Metro Manila, Philippines",14.63493,121.10195,Globe,185370,191565,185.37,191.57,5,559,200,282
"Cabuyao City, Laguna, Philippines",14.27433,121.11961,PLDT Home Fiber,115174,102231,115.17,102.23,7,555,157,232
"Subic, Zambales, Philippines",14.83066,120.18202,Converge,108311,109336,108.31,109.34,5,550,194,306
"Marilao, Bulacan, Philippines",14.77237,120.96001,Converge,149638,172252,149.64,172.25,8,533,136,188
"Nagcarlan, Laguna, Philippines",14.14903,121.38847,PLDT Home Fiber,193700,212849,193.70,212.85,10,531,164,264
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,Globe,129623,115854,129.62,115.85,5,528,166,239
