Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
"Imus, Cavite, Philippines",14.42764,120.93724,PLDT Home Fiber,165378,165650,165.38,165.65,3,926,380,514
"Navotas, Metro Manila, Philippines",14.65819,120.94743,Converge,196294,181463,196.29,181.46,4,914,277,490
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,Converge,136522,132821,136.52,132.82,4,906,330,511
"Bacoor, Cavite, Philippines",14.43122,120.96567,PLDT Home Fiber,118816,118196,118.82,118.20,5,904,284,421
"General Trias, Cavite, Philippines",14.38159,120.87915,Converge,190710,174682,190.71,174.68,6,891,348,536
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,Converge,203274,192767,203.27,192.77,3,888,385,526
"Tanauan City, Batangas, Philippines",14.08354,121.14762,PLDT Home Fiber,112367,101201,112.37,101.20,6,879,342,496
"Taguig, Metro Manila, Philippines",14.53063,121.05755,PLDT,77092,81404,77.09,81.40,9,878,365,499
"Victoria, Tarlac, Philippines",15.59077,120.68901,Globe,81063,83076,81.06,83.08,4,869,276,495
"Calauan, Laguna, Philippines",14.14551,121.3146,Converge,102512,203957,102.51,203.96,6,868,223,402
"Pasay City, Metro Manila, Philippines",14.53767,121.00081,PLDT,94526,89526,94.53,89.53,6,850,297,439
"Magpet, Cotabato, Philippines",7.1332,125.17087,PLDT Home Fiber,99743,96911,99.74,96.91,8,844,382,484
"La Trinidad, Benguet, Philippines",16.44844,120.59047,Converge,140305,142787,140.31,142.79,3,844,377,513
"Tarlac City, Tarlac, Philippines",15.48808,120.58719,Converge,106091,105234,106.09,105.23,3,816,352,508
"Angeles, Pampanga, Philippines",15.16061,120.60908,Converge,112625,98009,112.63,98.01,3,778,281,415
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,PLDT Home Fiber,146305,165978,146.31,165.98,4,767,279,379
"San Fernando, Pampanga, Philippines",15.02781,120.69349,PLDT Home Fiber,102269,103033,102.27,103.03,7,764,226,328
"Arayat, Pampanga, Philippines",15.15443,120.771,Converge,167828,189906,167.83,189.91,3,758,346,485
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,Globe,115421,111226,115.42,111.23,7,752,247,344
"New Lucena, Iloilo, Philippines",10.87841,122.59781,Converge,158496,122844,158.50,122.84,17,734,235,453
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,Globe,149548,133965,149.55,133.97,5,721,284,403
"Lipa City, Batangas, Philippines",13.94047,121.19395,PLDT Home Fiber,99528,111512,99.53,111.51,7,717,233,350
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,Converge,120190,103905,120.19,103.91,17,708,250,397
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,PLDT Home Fiber,101143,98748,101.14,98.75,4,689,220,320
"Bulakan, Bulacan, Philippines",14.79484,120.87889,PLDT Home Fiber,99948,101919,99.95,101.92,6,686,260,367
"Itogon, Benguet, Philippines",16.36116,120.6787,PLDT,99059,100354,99.06,100.35,5,664,263,379
"San Juan City, Metro Manila, Philippines",14.60196,121.0355,PLDT,75517,77982,75.52,77.98,10,654,256,374
"Bago, Negros Occidental, Philippines",10.53757,122.83609,Converge,125087,100574,125.09,100.57,18,641,244,378
"Candelaria, Quezon, Philippines",13.94899,121.42276,Converge,101337,135664,101.34,135.66,6,627,174,285
"La Carlota City, Negros Occidental, Philippines",10.41437,122.97757,Converge,201853,160743,201.85,160.74,18,625,245,440
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,PLDT Home Fiber,81684,90129,81.68,90.13,15,619,235,342
"Silang, Cavite, Philippines",14.22025,120.96469,PLDT Home Fiber,102796,102312,102.80,102.31,5,602,211,281
"Calamba, Laguna, Philippines",14.19488,121.15974,PLDT Home Fiber,118129,140240,118.13,140.24,8,600,181,252
"General Trias, Cavite, Philippines",14.38159,120.87915,PLDT Home Fiber,154516,139126,154.52,139.13,4,594,231,337
"Itogon, Benguet, Philippines",16.36116,120.6787,PLDT Home Fiber,104615,112149,104.62,112.15,6,593,265,359
"Carmona, Cavite, Philippines",14.3135,121.05712,PLDT,96963,119448,96.96,119.45,9,589,212,356
"Claveria, Misamis Oriental, Philippines",8.62972,124.90655,Converge,195033,159507,195.03,159.51,8,586,232,319
"Santa Cruz, Davao del Sur, Philippines",6.83551,125.41659,Converge,119068,106260,119.07,106.26,4,585,235,351
"Danao, Cebu, Philippines",10.52013,124.02712,Globe,116819,99595,116.82,99.60,7,579,279,388
"Imus, Cavite, Philippines",14.42764,120.93724,Converge,176588,187704,176.59,187.70,5,578,264,375
"Consolacion, Cebu, Philippines",10.37581,123.95694,Converge,180934,205684,180.93,205.68,2,577,215,323
"San Fernando, Pampanga, Philippines",15.02781,120.69349,Converge,96719,102144,96.72,102.14,4,573,231,310
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,Converge,148888,110675,148.89,110.68,18,572,231,344
"San Pablo City, Laguna, Philippines",14.06422,121.32326,PLDT Home Fiber,100235,137605,100.24,137.61,5,566,182,259
"Bacoor, Cavite, Philippines",14.43122,120.96567,PLDT,94369,94284,94.37,94.28,9,559,204,294
"Pandi, Bulacan, Philippines",14.87572,120.95941,PLDT Home Fiber,130723,118028,130.72,118.03,6,553,217,279
"Los Baños, Laguna, Philippines",14.17731,121.22161,PLDT Home Fiber,136849,157360,136.85,157.36,7,552,243,340
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,PLDT,97713,107007,97.71,107.01,4,550,179,282
"Iligan City, Lanao del Norte, Philippines",8.22707,124.46418,Converge,116459,127735,116.46,127.74,7,549,252,330
"Murcia, Negros Occidental, Philippines",10.60643,123.03944,Globe,115007,105910,115.01,105.91,4,547,266,384
"Bago, Negros Occidental, Philippines",10.53757,122.83609,PLDT Home Fiber,98234,120108,98.23,120.11,13,547,222,329
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,PLDT,87648,97876,87.65,97.88,9,538,162,293
"Sariaya, Quezon, Philippines",13.96301,121.52388,Converge,113000,186763,113.00,186.76,6,527,177,264
"Calamba, Laguna, Philippines",14.19488,121.15974,PLDT,96336,106174,96.34,106.17,11,516,173,262
"Butuan City, Agusan Del Norte, Philippines",8.94753,125.54063,PLDT Home Fiber,92179,92186,92.18,92.19,9,502,166,237
"Anao, Tarlac, Philippines",15.7435,120.61424,Globe,125776,109026,125.78,109.03,6,498,156,241
"Dasmariñas, Cavite, Philippines",14.33385,120.95423,Converge,170885,156257,170.89,156.26,5,491,195,297
"SJDM, Bulacan, Philippines",14.82867,121.04324,Converge,139877,123977,139.88,123.98,7,490,181,274
"Naga City, Camarines Sur, Philippines",13.6475,123.27003,Converge,80408,59662,80.41,59.66,10,487,140,229
"Taytay, Rizal, Philippines",14.55288,121.12571,PLDT Home Fiber,107121,160344,107.12,160.34,3,485,180,240
"Marikina, Metro Manila, Philippines",14.63493,121.10195,PLDT Home Fiber,173913,164896,173.91,164.90,3,475,142,200
"Tarlac City, Tarlac, Philippines",15.48808,120.58719,Globe,119289,107797,119.29,107.80,4,467,186,270
"Makati City, Metro Manila, Philippines",14.55474,121.02444,Globe,211354,180328,211.35,180.33,4,466,158,223
"Las Piñas, Metro Manila, Philippines",14.44934,120.98186,PLDT,82954,92709,82.95,92.71,7,464,195,274
"Butuan City, Agusan Del Norte, Philippines",8.94753,125.54063,Globe,108098,65899,108.10,65.90,11,457,205,268
"Subic Bay Freeport Zone, Philippines",14.80319,120.30033,Converge,135390,116909,135.39,116.91,4,446,171,244
"Cainta, Rizal, Philippines",14.58056,121.11565,PLDT,104698,113976,104.70,113.98,8,440,194,250
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,PLDT,73658,84490,73.66,84.49,9,435,136,189
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,PLDT,53997,51308,54.00,51.31,10,428,144,225
"Puerto Princesa City, Palawan, Philippines",9.78563,118.62648,PLDT Home Fiber,80368,94700,80.37,94.70,24,425,89,146
"Murcia, Negros Occidental, Philippines",10.60643,123.03944,PLDT Home Fiber,93078,100499,93.08,100.50,13,417,164,241
"San Juan City, Metro Manila, Philippines",14.60196,121.0355,PLDT Home Fiber,173357,170225,173.36,170.23,3,417,128,187
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,Converge,116299,155372,116.30,155.37,4,412,168,233
"Tagaytay City, Cavite, Philippines",14.11541,120.96202,Converge,131805,144173,131.81,144.17,6,409,119,171
"Parañaque, Metro Manila, Philippines",14.47929,121.01985,Globe,132408,109830,132.41,109.83,4,399,190,248
"San Carlos City, Negros Occidental, Philippines",10.48344,123.30371,PLDT,96628,101182,96.63,101.18,7,393,162,233
"Baguio, Benguet, Philippines",16.41297,120.5914,Converge,95430,105999,95.43,106.00,4,389,155,212
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,Globe,159289,141499,159.29,141.50,5,386,174,255
"Bacolor, Pampanga, Philippines",14.99692,120.65235,PLDT Home Fiber,107021,100868,107.02,100.87,7,380,177,249
"Urdaneta City, Pangasinan, Philippines",15.98194,120.59698,Converge,94304,94416,94.30,94.42,5,376,131,207
"San Carlos City, Negros Occidental, Philippines",10.48344,123.30371,PLDT Home Fiber,112796,123057,112.80,123.06,13,375,130,185
"City of Santa Rosa, Laguna, Philippines",14.31471,121.11232,PLDT Home Fiber,152624,198952,152.62,198.95,7,370,91,128
"Tarlac City, Tarlac, Philippines",15.48808,120.58719,PLDT,89697,94545,89.70,94.55,9,367,147,208
"Cabanatuan City, Nueva Ecija, Philippines",15.49943,121.01057,Globe,116609,104510,116.61,104.51,5,366,145,199
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,PLDT,83971,94004,83.97,94.00,8,364,118,187
"Mambusao, Capiz, Philippines",11.44257,122.59383,Converge,213721,173228,213.72,173.23,19,361,123,229
"Malolos, Bulacan, Philippines",14.86049,120.80916,PLDT Home Fiber,109688,142498,109.69,142.50,6,359,114,173
"San Nicolas, Pangasinan, Philippines",16.12066,120.78097,PLDT,135362,164164,135.36,164.16,5,359,161,241
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,PLDT,66261,72138,66.26,72.14,6,359,153,226
"Tanauan City, Batangas, Philippines",14.08354,121.14762,PLDT,93109,94786,93.11,94.79,7,356,140,205
"Burgos, La Union, Philippines",16.53803,120.47033,Converge,107529,105549,107.53,105.55,4,355,135,206
"Calapan City, Oriental Mindoro, Philippines",13.36643,121.19395,Converge,93623,93905,93.62,93.91,11,355,122,202
"Pasig, Metro Manila, Philippines",14.56082,121.0776,PLDT,78001,74936,78.00,74.94,5,348,141,204
"Baguio, Benguet, Philippines",16.41297,120.5914,PLDT,93456,92739,93.46,92.74,5,348,131,195
"Magpet, Cotabato, Philippines",7.1332,125.17087,PLDT,166758,156477,166.76,156.48,8,348,140,188
"Olongapo City, Zambales, Philippines",14.88739,120.36661,Converge,105429,105898,105.43,105.90,5,346,119,184
"Iloilo City, Iloilo, Philippines",10.73019,122.55911,PLDT Home Fiber,91605,88516,91.61,88.52,15,345,114,167
"San Juan City, Metro Manila, Philippines",14.60196,121.0355,Converge,118276,116848,118.28,116.85,4,343,127,183
"Biñan, Laguna, Philippines",14.31456,121.08316,PLDT Home Fiber,107832,166462,107.83,166.46,8,335,103,155
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,PLDT Home Fiber,181122,179430,181.12,179.43,3,334,128,172
"Talakag, Bukidnon, Philippines",8.05293,124.72988,PLDT Home Fiber,92296,94520,92.30,94.52,5,328,142,212
