Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Minimum Latency,Multi-Server Latency,Multi-Server Jitter,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
Converge,Philippines,,"Nov 11, 2025",95592,33879,all,N/A,median,5,11.5993,2.8375,135471,130426,135.47,130.43
Globe,Philippines,,"Nov 11, 2025",42862,16548,all,N/A,median,6,20.851,3.1025,123004,110362,123.00,110.36
PLDT Home Fiber,Philippines,,"Nov 11, 2025",125523,40191,all,N/A,median,7,20.7692,5.2354,101555,114462,101.56,114.46
PLDT,Philippines,,"Nov 11, 2025",52913,18413,all,N/A,median,8,29.2167,6.095,86346,91207,86.35,91.21
Smart,Philippines,,"Nov 11, 2025",12984,4110,N/A,cellular,median,21,54.1876,16.3167,41589,5078,41.59,5.08
DITO,Philippines,,"Nov 11, 2025",5138,1566,N/A,cellular,median,27,50.8513,14.9497,27123,4606,27.12,4.61
Globe,Philippines,,"Nov 11, 2025",14463,4123,N/A,cellular,median,24,53.1337,15.0886,23991,5649,23.99,5.65
Converge,Philippines,,"Nov 12, 2025",85293,29437,all,N/A,median,5,12.3792,3.3334,122462,136752,122.46,136.75
Globe,Philippines,,"Nov 12, 2025",41866,16068,all,N/A,median,6,22.6333,3.2469,121615,109235,121.62,109.24
PLDT Home Fiber,Philippines,,"Nov 12, 2025",101815,35179,all,N/A,median,6,19.9,4.5277,102012,108366,102.01,108.37
PLDT,Philippines,,"Nov 12, 2025",51047,18217,all,N/A,median,8,28.3545,5.5583,87431,91894,87.43,91.89
Smart,Philippines,,"Nov 12, 2025",12222,3929,N/A,cellular,median,19,56.3013,15.5008,41875,5548,41.88,5.55
DITO,Philippines,,"Nov 12, 2025",4820,1550,N/A,cellular,median,27,50.6077,14.6755,29336,5077,29.34,5.08
Globe,Philippines,,"Nov 12, 2025",15860,4482,N/A,cellular,median,23,48.5115,13.0168,27016,6954,27.02,6.95
Converge,Philippines,,"Nov 13, 2025",84994,27784,all,N/A,median,5,12.5889,3.5268,114324,126321,114.32,126.32
Globe,Philippines,,"Nov 13, 2025",40378,15463,all,N/A,median,6,23.0042,3.1032,121698,109270,121.70,109.27
PLDT Home Fiber,Philippines,,"Nov 13, 2025",100857,34671,all,N/A,median,6,19.3766,4.2424,102902,110888,102.90,110.89
PLDT,Philippines,,"Nov 13, 2025",52070,17977,all,N/A,median,8,27.5445,5.45,87699,91589,87.70,91.59
Smart,Philippines,,"Nov 13, 2025",11139,3725,N/A,cellular,median,19,56.3563,14.3322,42649,5583,42.65,5.58
DITO,Philippines,,"Nov 13, 2025",5128,1522,N/A,cellular,median,27,49.9038,13.6669,29291,5373,29.29,5.37
Globe,Philippines,,"Nov 13, 2025",13408,3639,N/A,cellular,median,23,51.7084,14.8132,26721,6511,26.72,6.51
Converge,Philippines,,"Nov 14, 2025",85385,28026,all,N/A,median,5,13.3472,3.7749,123563,131012,123.56,131.01
Globe,Philippines,,"Nov 14, 2025",39044,14936,all,N/A,median,6,21.2572,3.125,122672,109687,122.67,109.69
PLDT Home Fiber,Philippines,,"Nov 14, 2025",121991,38897,all,N/A,median,6,21.2111,5.5621,95433,110981,95.43,110.98
PLDT,Philippines,,"Nov 14, 2025",48772,17204,all,N/A,median,8,27.5779,5.56,87694,92369,87.69,92.37
Smart,Philippines,,"Nov 14, 2025",12283,4001,N/A,cellular,median,19,61.9482,16.702,43227,5696,43.23,5.70
DITO,Philippines,,"Nov 14, 2025",4871,1547,N/A,cellular,median,27,51.4089,14.0252,29994,5462,29.99,5.46
Globe,Philippines,,"Nov 14, 2025",13892,3747,N/A,cellular,median,22,51.1495,15.2539,27094,6645,27.09,6.65
Converge,Philippines,,"Nov 15, 2025",80406,25141,all,N/A,median,5,15.1003,4.2842,124368,131015,124.37,131.02
Globe,Philippines,,"Nov 15, 2025",34931,12276,all,N/A,median,6,20.2909,2.975,120272,110270,120.27,110.27
PLDT Home Fiber,Philippines,,"Nov 15, 2025",87543,27865,all,N/A,median,6,19.1579,4.1,98676,106329,98.68,106.33
PLDT,Philippines,,"Nov 15, 2025",36785,12087,all,N/A,median,8,26.4816,5.241,80700,86135,80.70,86.14
Smart,Philippines,,"Nov 15, 2025",10900,3805,N/A,cellular,median,19,56.1103,14.5097,41896,5575,41.90,5.58
