Location Name,Latitude,Longitude,Provider,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,Device Count
"Mandaluyong City, Metro Manila, Philippines",14.57627,121.03924,Globe,44299,7982,44.30,7.98,15,2798,912,1397
"Bacolod, Negros Occidental, Philippines",10.66764,122.94556,DITO,29584,4711,29.58,4.71,39,2761,415,588
"Angeles, Pampanga, Philippines",15.16061,120.60908,Smart,50034,5009,50.03,5.01,18,2759,682,1007
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,Smart,78205,5331,78.21,5.33,16,2665,551,803
"General Santos City (Dadiangas), South Cotabato, Philippines",6.14327,125.19286,Globe,17021,6368,17.02,6.37,35,2513,263,355
"Muntinlupa, Metro Manila, Philippines",14.39453,121.04483,Smart,51648,6384,51.65,6.38,18,2441,783,1140
"Baguio, Benguet, Philippines",16.41297,120.5914,Smart,34944,4202,34.94,4.20,20,2438,599,867
"Bacoor, Cavite, Philippines",14.43122,120.96567,DITO,45083,3128,45.08,3.13,23,2412,223,1034
"Lapu-Lapu, Cebu, Philippines",10.31838,123.96395,Globe,30974,6394,30.97,6.39,32,2411,613,875
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,Globe,43573,8830,43.57,8.83,16,2333,543,782
"Cabanatuan City, Nueva Ecija, Philippines",15.49943,121.01057,Globe,32999,6199,33.00,6.20,20,2327,207,891
"Iligan City, Lanao del Norte, Philippines",8.22707,124.46418,Globe,24848,10322,24.85,10.32,30,2210,112,159
"Batangas City, Batangas, Philippines",13.75641,121.05833,Smart,33671,3973,33.67,3.97,21,2175,129,671
"San Fernando, Pampanga, Philippines",15.02781,120.69349,Globe,31124,6494,31.12,6.49,23,2148,281,419
"Cainta, Rizal, Philippines",14.58056,121.11565,DITO,46310,4938,46.31,4.94,23,2104,137,843
"Caloocan, Metro Manila, Philippines",14.65136,120.99022,Smart,93462,10090,93.46,10.09,14,2088,675,988
"General Santos City (Dadiangas), South Cotabato, Philippines",6.14327,125.19286,Smart,45585,8215,45.59,8.22,28,1971,292,403
"Mandaue, Cebu, Philippines",10.3279,123.94273,Globe,30590,6113,30.59,6.11,32,1965,564,836
"Anao, Tarlac, Philippines",15.7435,120.61424,Smart,52624,2469,52.62,2.47,23,1918,3,746
"Baguio, Benguet, Philippines",16.41297,120.5914,Globe,18252,3604,18.25,3.60,23,1911,513,775
"Valenzuela, Metro Manila, Philippines",14.69247,120.96991,Globe,46372,9892,46.37,9.89,15,1812,402,564
"Pasig, Metro Manila, Philippines",14.56082,121.0776,DITO,45984,10294,45.98,10.29,21,1791,381,708
"Antipolo City, 1870 Rizal, Philippines",14.58584,121.17569,Smart,75052,6793,75.05,6.79,15,1775,509,766
"Naga City, Camarines Sur, Philippines",13.6475,123.27003,Smart,57212,6938,57.21,6.94,19,1773,355,523
